"ENGINEERING CUTOFF RANK OF CET-2015 - (ROUND-3 ALLOTMENT) ( General ) 21-07-2015"
"1     E001   University Visveswariah College of Engineering          Bangalore"
"1G    1K    1R       2AG  2AK    2AR  2BG   2BK   2BR    3AG  3AK   3AR    3BG  3BK  3BR    GM   GMK   GMR   SCG   SCK   SCR   STG  STK   STR"
"TC Telecommn.         7786   --    --     5453    --      9274 10558     --       --   2655    --     --     2795    --     --     1881    6045    8751 17960     --     82598    --     --     --"
"6     E006   M S Ramaiah Institute of Technology        Bangalore"
"1G    1K    1R      2AG    2AK     2AR    2BG  2BK   2BR    3AG  3AK   3AR   3BG              3BK    3BR   GM   GMK   GMR   SCG    SCK  SCR   STG                 STK    STR"
"BT Bio Technology    11956   --    --     11356   --       --  17159   --    --  13474 38683 40410 9323              --      --  8891   --  20338 51836   --    --    --                 --    42322"
"CE Civil              7951   --    --     11577   --     13891 11887 26085 16884 8507    --    --  10761             --    11951 7141 8626 10239 21098    --  22770 13180                --      --"
"CH Chemical          13593   --    --     24425   --       --   6616   --    --   9834   --  20663 7914              --      --  6259 11489 11778 60827 101218 --     --                 --      --"
"                                                            ENGINEERING CUTOFF RANK OF CET-2015 - (ROUND-3 ALLOTMENT) ( General ) 21-07-2015"
"6     E006   M S Ramaiah Institute of Technology       Bangalore"
"1G   1K    1R    2AG  2AK   2AR  2BG            2BK    2BR   3AG      3AK    3AR     3BG     3BK    3BR     GM      GMK   GMR        SCG  SCK   SCR   STG     STK    STR"
"CS Computers           4813 8133 9713 4124    --   5438 4339            --     --   1423      --     --     2258     --    5233     927    2584 3544       14435   --  39567 8863     --     --"
"EC Electronics         2475  --    --   3620  --   5506 3837            --    6146 1828       --     --     1956    7434    --     1220    2997 4700        8557   --  18569 6514     --     --"
"EE Electrical          9181  --    --   5650 6612 9135 8183             --     --   3863      --     --     2813     --     --     2780     --   5959      15221   --  37107   --     --     --"
"IE Info.Science        5553  --  16071 4990   --  10215 4858            --     --   3888      --     --     2487     --     --     1468    6943 6203       23180 57264 27906 18825    --     --"
"IM Ind. Engg.         23193  --    --  23129 --   97909 37027           --     --  15900      --     --      --      --     --     9457     --  26138      76152   --  88158   --     --     --"
"Mgmt."
"IT Inst.Tech.         14015   --     --    10237 --    22481    10734   --     --     14210   --     --      6803   --      --     5047 21623 17811 44142 -- 104878 36095             --      --"
"MD Med.Elect.         27923   --     --    19598 40481 67698    22760   --     --     10336   --     --     11011   --      --     9943   --  48587 37609 --    --    --              --      --"
"ME Mechanical          7240   --   14421    5678 5815 6655       6550   --     --      3167   --     --      4362   --     7019    2453 5293 5142 17675 18801 25358 6684              --      --"
"TC Telecommn.          9215   --     --     6641   --    --      7254   --     --      4423   --     --      4310   --      --     3445 9065 10561 25506  --    --    --              --    31360"
"7     E007   Dayananda Sagar College of Engineering       Bangalore"
"1G    1K     1R      2AG  2AK    2AR  2BG       2BK    2BR      3AG   3AK    3AR      3BG  3BK   3BR    GM   GMK   GMR              SCG   SCK   SCR   STG   STK   STR"
